"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000496" 25 28 28 15 45 28 20 19
"ENSBTAG00000000497" 526 562 526 507 731 558 573 486
"ENSBTAG00000000500" 135 212 89 151 272 136 78 154
"ENSBTAG00000000501" 469 503 476 531 730 411 346 482
"ENSBTAG00000000502" 2 4 0 1 0 1 2 0
"ENSBTAG00000000504" 947 1069 1219 1011 998 898 1034 803
"ENSBTAG00000000505" 887 803 868 681 694 810 816 651
"ENSBTAG00000000507" 23 76 115 28 118 21 57 38
"ENSBTAG00000000510" 374 529 463 431 342 358 353 357
"ENSBTAG00000000511" 276 268 356 297 407 222 241 297
"ENSBTAG00000000512" 51 73 72 103 42 72 67 37
"ENSBTAG00000000516" 6 4 2 11 2 0 15 7
"ENSBTAG00000000517" 125 103 148 145 154 197 131 135
"ENSBTAG00000000518" 0 5 2 0 1 0 1 1
"ENSBTAG00000000520" 0 2 4 1 1 0 1 1
"ENSBTAG00000000521" 545 634 688 515 901 533 585 580
"ENSBTAG00000000522" 0 0 3 0 1 3 0 2
"ENSBTAG00000000524" 1794 3256 3355 1523 3125 1524 2242 2193
"ENSBTAG00000000526" 1409 1560 1730 1742 2540 1290 1080 1579
"ENSBTAG00000000527" 741 779 758 657 1282 558 631 659
"ENSBTAG00000000528" 413 448 651 468 619 392 257 457
"ENSBTAG00000000529" 341 280 369 330 375 267 286 312
"ENSBTAG00000000531" 2 0 0 1 0 0 0 2
"ENSBTAG00000000532" 164 217 182 162 155 198 199 168
"ENSBTAG00000000533" 81 137 94 57 61 47 99 90
"ENSBTAG00000000534" 0 0 0 0 0 1 0 0
"ENSBTAG00000000535" 94 89 205 68 172 155 176 101
"ENSBTAG00000000536" 222 245 273 269 243 142 196 155
"ENSBTAG00000000539" 475 535 421 553 678 468 403 487
"ENSBTAG00000000540" 2 27 18 31 9 5 17 5
"ENSBTAG00000000541" 0 0 2 0 0 1 1 1
"ENSBTAG00000000542" 1629 2175 2410 1647 2337 1344 1439 1608
"ENSBTAG00000000545" 5414 4993 5062 4410 6034 3993 4554 4074
"ENSBTAG00000000546" 1301 1743 2160 1995 2121 1122 1020 1348
"ENSBTAG00000000548" 821 901 887 883 1444 728 710 999
"ENSBTAG00000000550" 593 907 571 430 1012 718 610 480
"ENSBTAG00000000551" 772 1034 1016 865 847 800 640 634
"ENSBTAG00000000552" 1 2 1 0 3 0 1 1
"ENSBTAG00000000555" 4758 4667 3480 4021 4896 2465 2054 3344
"ENSBTAG00000000558" 2 0 3 0 0 0 1 0
"ENSBTAG00000000559" 1081 1127 1396 750 1393 1386 992 1073
"ENSBTAG00000000560" 15 10 10 21 13 9 15 15
"ENSBTAG00000000561" 1268 1335 1148 1328 1320 909 1033 786
"ENSBTAG00000000562" 3383 3276 3425 2886 3338 2507 2287 2821
"ENSBTAG00000000563" 714 754 909 498 1148 618 711 735
"ENSBTAG00000000564" 3 3 6 0 2 0 0 6
"ENSBTAG00000000565" 1974 1307 1348 1049 3503 1153 1390 1876
"ENSBTAG00000000566" 340 394 618 442 450 357 468 548
"ENSBTAG00000000567" 0 0 0 0 0 0 0 2
